,BJD,rv,cc,mean_wv_shift
63,2455691.53865414,-9550.000000000022,472032724.37059873,-0.17033306898861014
64,2455233.81365836,-9490.000000000024,334409138.6978602,-0.16927775813446366
65,2455247.75688833,-9480.000000000024,490990854.4231356,-0.1690971640155297
66,2455615.71856706,-9480.000000000024,690679031.6729715,-0.16909653155800572
67,2455648.56263659,-9430.000000000025,613974073.6657192,-0.1681989820653863
68,2454780.87114101,-9490.000000000024,436756855.73827577,-0.16928044891441493
69,2455657.5960307,-9650.00000000002,716293064.9107529,-0.17212122534400845
70,2454528.66384478,-9490.000000000024,1053502903.2884489,-0.16927380110512372
71,2455716.45656872,-9540.000000000022,588702124.0221876,-0.17015263558133897
72,2455231.71538548,-9490.000000000024,358448196.30886227,-0.16927823297798453
73,2454524.71902339,-9480.000000000024,1059605645.329968,-0.16909589910048167
74,2455631.58124696,-9240.00000000003,368681929.2784497,-0.1648120843107702
75,2455633.67125215,-9460.000000000024,583101772.0933396,-0.16873598982394072
76,2454779.87318453,-9490.000000000024,661080713.9414891,-0.16927997407089407
77,2454802.79498657,-9500.000000000024,762633204.0085983,-0.16946057520701832
78,2455238.82393386,-9490.000000000024,949973071.0854783,-0.16927744157211655
79,2454879.71042652,-9480.000000000024,390563319.4482481,-0.1690973221299107
80,2455714.57782642,-9540.000000000022,218689310.19652888,-0.17015327204188613
81,2455672.54501038,-9280.000000000027,467706766.78647065,-0.16552016137474196
82,2455220.8364715,-9500.000000000024,721568902.8620037,-0.16945772314362653
83,2454525.73898076,-9480.000000000024,1153703021.3608263,-0.16909589910048176
84,2455682.60793293,-9180.00000000003,614494231.6356442,-0.16373449388973432
85,2455727.44745701,-9540.000000000022,641076980.5992569,-0.17015263558133897
86,2455590.77185653,-9500.000000000024,439659928.6598329,-0.16945693090379546
87,2454422.85207867,-9500.000000000024,873891339.9860853,-0.16945962451922109
88,2454850.78340932,-9500.000000000024,703321899.19098,-0.16945835693549144
89,2454776.86402872,-9490.000000000024,414636616.56597626,-0.1692799740708941
90,2455623.78061903,-10020.000000000013,426248352.6396796,-0.17872709608179996
