,star,indice,max,min,mean,median,std,N_spectra
0,HD85512,I_CaII,0.48452512020213767,0.30229636794404513,0.3973643022230964,0.39373873064687365,0.0427338822844183,185
1,HD85512,I_Ha06,0.16614665606896023,0.1516265319820313,0.15982326647943806,0.1587400072071584,0.0029662018747191716,185
2,HD85512,I_NaI,0.11901604590719118,0.11048607318415547,0.11457703924652854,0.11474461749805553,0.0011601837816457385,185
3,HD85512,rv,-9486.63576539143,-9494.36730031676,-9490.964312346754,-9491.045300615539,1.2702858882461237,185
