,star,indice,max,min,mean,median,std,N_spectra
0,HD20794,I_CaII,0.13749585287812774,0.13299952733580123,0.13593173322804125,0.13592737155706044,0.0007135398768484606,189
1,HD20794,I_Ha06,0.10634192182225014,0.10287805153097196,0.10532157654137596,0.1054557200590593,0.0005344250930716234,189
2,HD20794,I_NaI,0.28585370240957175,0.2629070471378402,0.277333481046152,0.2777579951295911,0.0038652511285431263,189
3,HD20794,rv,87959.4813127723,87942.6478524336,87952.88149114691,87953.85940794491,3.865794299941,189
