,star,indice,max,min,mean,median,std,N_spectra
0,HD192310,I_CaII,0.19670021883858813,0.13942477847999363,0.14846295230089646,0.14569022499801634,0.010626530513698391,144
1,HD192310,I_Ha06,0.12300429286168664,0.11591421299587772,0.11708818632483305,0.11671625710847162,0.001334373072342085,144
2,HD192310,I_NaI,0.18677733935143248,0.17971245909681216,0.1841898798467533,0.18433741183693717,0.0010518633543072334,144
3,HD192310,rv,-54216.6524957254,-54231.4116819486,-54223.30207524642,-54223.63459542085,2.700308750563757,144
