,star,indice,max,min,mean,median,std,N_spectra
0,HD85512,I_CaII,0.4805413742638932,0.30229636794404513,0.39813305039361846,0.39373873064687365,0.044437279346513946,185
1,HD85512,I_Ha06,0.16614665606896023,0.1516265319820313,0.15988134471768092,0.15883014528250702,0.0030838691766959816,185
2,HD85512,I_NaI,0.11763219457634065,0.11080521250200599,0.11461288171275302,0.11481137378689862,0.001116422482461381,185
3,HD85512,rv,-9486.63576539143,-9494.36730031676,-9490.932256961516,-9490.94401032375,1.272866643041903,185
