,star,indice,max,min,mean,median,std,time_span,N_spectra
0,HD85512,I_CaII,0.4805348704006986,0.28263998048113775,0.36546760203821915,0.3606520927020753,0.04989423852039209,7341.919715780299,140
1,HD85512,I_Ha06,0.16614895796050558,0.15163252333623173,0.1586282499202499,0.15813422256768347,0.0030211752906759634,7341.919715780299,140
2,HD85512,I_NaI,0.12278635386538762,0.11099522856462403,0.11580476972200926,0.11493804311308631,0.0027181778350210423,7341.919715780299,140
3,HD85512,rv,-9460.000000000004,-9560.000000000004,-9484.285714285716,-9460.000000000004,42.88094577086749,7341.919715780299,140
