,I_CaII,I_CaII_Rneg,I_CaII_err,I_Ha06,I_Ha06_Rneg,I_Ha06_err,I_NaI,I_NaI_Rneg,I_NaI_err,SNR,bjd,file,instr,obj,rv
0,0.18792932647780794,0.0,0.0002962833975790877,0.12216494421147131,0.0,0.00011301031808807674,0.18692049419961956,0.0,0.0001450291905913589,276.1,2456827.83287047,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-07T08:35:28.177.fits,HARPS,HD192310,-54192.999999999985
1,0.18427332704944993,0.0,0.00037391222747350814,0.12184822221254783,0.0,0.00012042989349124079,0.18603821710280832,0.0,0.00015890581570349803,234.55,2456803.89595148,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-07T08:34:32.813.fits,HARPS,HD192310,-54192.999999999985
3,0.15962759514917338,0.0,0.0002502328537028968,0.1190459874971093,0.0,8.905336895628529e-05,0.18356190737885023,0.0,0.00011919104472019677,312.0,2456079.81450339,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-26T16:54:14.223.fits,HARPS,HD192310,-54192.999999999985
4,0.1441461268647874,0.0,0.0002482563375697529,0.11614570939780916,0.0,0.00010257512959827166,0.1843644873325224,0.0,0.0001394291994568102,279.15,2455349.83488871,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-24T09:43:35.460.fits,HARPS,HD192310,-54192.999999999985
5,0.1454343452719283,0.0,0.0004109301114730068,0.11668974676899671,0.0,0.00016378972785201812,0.18353823993892912,0.0,0.0002210451821502026,170.7,2455727.79691778,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-25T15:36:35.430.fits,HARPS,HD192310,-54192.999999999985
6,0.1431971571367112,0.0,0.000377210068135122,0.1160258336289193,0.0,0.00015659218689845583,0.1815053698917303,0.0,0.0002124801100582255,181.3,2455141.49006263,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:04:02.327.fits,HARPS,HD192310,-54192.999999999985
7,0.1577288427089725,0.0,0.00031015508501458397,0.11853505631936852,0.0,0.00012242389569668203,0.18559176672937305,0.0,0.00016165392240858492,242.9,2456120.7950507,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-26T16:54:55.200.fits,HARPS,HD192310,-54192.999999999985
8,0.1469487970736116,0.0,0.00021868502508466352,0.1164854603647297,0.0,8.531058548678868e-05,0.185054562011211,0.0,0.0001142032265094479,342.2,2455435.72897524,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-24T09:42:34.197.fits,HARPS,HD192310,-54192.999999999985
9,0.14311337450457506,0.0,0.00021915622196944128,0.11625486596474767,0.0,0.00010049952797999783,0.18266444719972996,0.0,0.00013397214749663472,299.75,2455135.5192433,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:02:00.513.fits,HARPS,HD192310,-54192.999999999985
10,0.18074708569696699,0.0,0.0003148539985374899,0.12138164908407484,0.0,0.0001097606552467797,0.18662804753482615,0.0,0.0001433823410019623,270.4,2456857.7677946,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-07T08:35:51.340.fits,HARPS,HD192310,-54192.999999999985
11,0.159794763701176,0.0,0.000267445287968111,0.11890476211490579,0.0,9.215191657929152e-05,0.18463271837939216,0.0,0.00012467063739003725,295.3,2456078.78359334,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-26T16:52:24.980.fits,HARPS,HD192310,-54192.999999999985
12,0.16992852565800906,0.0,0.0005001228678863636,0.12039737765308607,0.0,0.00015620399016141152,0.18547580964586302,0.0,0.00021195674715835376,168.15,2456398.85831465,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-06T10:06:07.690.fits,HARPS,HD192310,-54192.999999999985
13,0.16496944969040517,0.0,0.00045668088312402074,0.12050180453191446,0.0,0.00015311033873945327,0.19211415761084488,0.0,0.00020424090694674986,200.75,2457662.67028403,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2016-10-02T01:02:55.843.fits,HARPS,HD192310,-54192.999999999985
14,0.19096647591044252,0.0,0.000296342012013792,0.12366618739046117,0.0,9.328523518758548e-05,0.1922807489382822,0.0,0.0001219357950536481,333.85,2457266.68090526,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2015-09-03T23:56:06.573.fits,HARPS,HD192310,-54192.999999999985
15,0.2003277245801249,0.0,0.00045935273865389733,0.12219486918012572,0.0,0.00013793071903357511,0.1787323840714069,0.0,0.00019244444361681372,206.7,2453344.50811801,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-01T10:19:09.557.fits,HARPS,HD192310,-54192.999999999985
16,0.14594685172883481,0.0,0.000349618477854257,0.1169422098698755,0.0,0.00014595773654366511,0.18454808584430063,0.0,0.00019879285587828767,196.9,2455054.77841708,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:06:10.313.fits,HARPS,HD192310,-54192.999999999985
17,0.14725830012330474,0.0,0.0002021779136512734,0.1166388529723653,0.0,8.604974325295415e-05,0.18227761139347798,0.0,0.0001158648741973546,341.7,2455111.61668115,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:04:39.043.fits,HARPS,HD192310,-54192.999999999985
18,0.18321573080385326,0.0,0.00044697143146464304,0.12166567786727042,0.0,0.00014929930920891345,0.18612528047976237,0.0,0.00019910566545249575,186.45,2456804.80779526,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-07T08:35:29.190.fits,HARPS,HD192310,-54192.999999999985
