,I_CaII,I_CaII_Rneg,I_CaII_err,I_Ha06,I_Ha06_Rneg,I_Ha06_err,I_NaI,I_NaI_Rneg,I_NaI_err,actin_ver,bjd,file,instr,rv
0,0.3123088904656524,1.4639816384950927e-05,0.0017926226729939104,0.15383063909561046,0.0,0.00031274315656664565,0.11198315136694763,0.0,0.0003176421824526339,2.0_beta_11,2452990.81450986,average_2003-12-17_s1d_A.fits,test,-9500.000000000024
1,0.45317680572494046,0.0,0.0012384259579054444,0.1645183322927878,0.0,0.00021619502439504675,0.11482968704887485,0.0,0.0002021600115948552,2.0_beta_11,2454850.78340932,average_2003-12-29_s1d_A.fits,test,-9500.000000000024
2,0.42628277553593863,0.0,0.001168465685508594,0.1611020630993083,0.0,0.00020274473969683935,0.11342880357417406,0.0,0.0001932425700935456,2.0_beta_11,2454918.6968486,average_2004-02-16_s1d_A.fits,test,-9680.00000000002
3,0.3031099690339765,4.024566757995851e-06,0.0013914727341930745,0.15272190618909826,0.0,0.00026061404783412896,0.11214975331472408,0.0,0.0002620580984590199,2.0_beta_11,2453063.67445742,average_2004-02-28_s1d_A.fits,test,-9480.000000000024
4,0.42108604538168143,0.0,0.0013163789164393578,0.16037443185183764,0.0,0.00022458426020724687,0.11306709220185056,0.0,0.00021423624081205977,2.0_beta_11,2454914.61773443,average_2006-01-24_s1d_A.fits,test,-9570.000000000022
5,0.4626663780212472,0.0,0.0010161902787236428,0.16317192165377092,0.0,0.0001579427213538109,0.11569280065861591,0.0,0.00015318761607602268,2.0_beta_11,2454141.7538716,average_2007-02-10_s1d_A.fits,test,-9490.000000000024
6,0.44370305813226735,0.0,0.00113891470408815,0.16275081573744632,0.0,0.00018630930471492073,0.11592027288166122,0.0,0.0001812291927974358,2.0_beta_11,2454422.85207867,average_2007-11-18_s1d_A.fits,test,-9500.000000000024
7,0.44505054800983457,0.0,0.0008804160385932561,0.1617884265543126,0.0,0.00014895046142273562,0.1157201824704271,0.0,0.0001440170203973767,2.0_beta_11,2454426.8302094,average_2007-11-22_s1d_A.fits,test,-9500.000000000024
8,0.47962943333502006,0.0,0.0013132027800660923,0.16597335785700418,0.0,0.00021525513329996612,0.11688030085048313,0.0,0.00020515256440310233,2.0_beta_11,2454521.6752909,average_2008-02-25_s1d_A.fits,test,-9480.000000000024
9,0.43540215538686167,0.0,0.001577210288019612,0.1626028805655065,0.0,0.0002722122231078793,0.11544268395864477,0.0,0.00026022336910037946,2.0_beta_11,2454805.79096924,average_2008-02-26_s1d_A.fits,test,-9500.000000000024
10,0.4731974098404781,0.0,0.0013293655106168694,0.1655949807667067,0.0,0.0001997972270231986,0.11614148194048014,0.0,0.00019278262881491738,2.0_beta_11,2454523.7298872,average_2008-02-27_s1d_A.fits,test,-9480.000000000024
11,0.4664968049016628,0.0,0.0010855077228842695,0.16524224232386953,0.0,0.00017116794772040816,0.11581697424115221,0.0,0.00016358368213548324,2.0_beta_11,2454524.71902339,average_2008-02-28_s1d_A.fits,test,-9480.000000000024
12,0.39550464238539496,0.0,0.001153636507856061,0.15934939437705467,0.0,0.00020842943430442214,0.11310364527552227,0.0,0.00019557021463366856,2.0_beta_11,2455220.8364715,average_2008-02-29_s1d_A.fits,test,-9500.000000000024
13,0.4217620541991089,0.0,0.0012812027246853388,0.16061216225212904,0.0,0.00020991650884795226,0.11045368352822833,0.0,0.0001971466738360605,2.0_beta_11,2454916.73689913,average_2008-03-01_s1d_A.fits,test,-9430.000000000025
14,0.47750110308240484,0.0,0.00103111842101912,0.16509949326705883,0.0,0.00016395579623762046,0.11500913972041794,0.0,0.0001549639995118731,2.0_beta_11,2454527.70032644,average_2008-03-02_s1d_A.fits,test,-9480.000000000024
15,0.47299033449431954,0.0,0.0010916361678174782,0.16531067804781802,0.0,0.00017161538010951848,0.11551813246583398,0.0,0.00016373129040824148,2.0_beta_11,2454528.66384478,average_2008-03-03_s1d_A.fits,test,-9490.000000000024
16,0.4689041776650859,0.0,0.0012105310525455724,0.16549103621720285,0.0,0.00019947277722469543,0.11574537724584105,0.0,0.0001890574321578767,2.0_beta_11,2454529.66626299,average_2008-03-04_s1d_A.fits,test,-9480.000000000024
17,0.46451353367134973,0.0,0.0010137565798514548,0.16491048594307592,0.0,0.00015242747557880587,0.11454865728295402,0.0,0.00014513116163612623,2.0_beta_11,2454530.71158562,average_2008-03-05_s1d_A.fits,test,-9480.000000000024
18,0.480543817141917,0.0,0.0013103872878219122,0.1659960785958385,0.0,0.00020773711514396085,0.11604689664333136,0.0,0.00019747347949680257,2.0_beta_11,2454569.58882004,average_2008-04-13_s1d_A.fits,test,-9500.000000000024
19,0.47236845417440687,0.0,0.0014235601328427127,0.16399766113962544,0.0,0.00023434032003736768,0.11663913779019472,0.0,0.00022418581908173121,2.0_beta_11,2454571.56813263,average_2008-04-15_s1d_A.fits,test,-9520.000000000022
20,0.4689041776650859,0.0,0.0012105310525455724,0.16549103621720285,0.0,0.00019947277722469543,0.11574537724584105,0.0,0.0001890574321578767,2.0_beta_11,2454529.66626299,average_2008-05-25_s1d_A.fits,test,-9480.000000000024
21,0.3022986282214261,2.081953567963928e-07,0.0014210908635790048,0.15162600164453882,0.0,0.0003035147501661799,0.11127255489133782,0.0,0.00030253747111570934,2.0_beta_11,2453002.83363056,average_2008-05-30_s1d_A.fits,test,-9500.000000000024
22,0.40449265377761345,0.0,0.0011498239237317557,0.16019585312153722,0.0,0.00020603644158058518,0.11298515020245252,0.0,0.00019544939792187646,2.0_beta_11,2455224.66867138,average_2008-05-31_s1d_A.fits,test,-9170.000000000031
23,0.42860831654564435,0.0,0.0011856343598380685,0.1607638241346585,0.0,0.00020697802213044675,0.11322877004601181,0.0,0.00019633529744235803,2.0_beta_11,2454913.49375278,average_2008-06-02_s1d_A.fits,test,-9450.000000000024
24,0.4433735131511949,0.0,0.0016438264390228453,0.16068651395688743,0.0,0.00026904679603302996,0.11548265293467425,0.0,0.0002611795295614391,2.0_beta_11,2454776.86402872,average_2008-06-23_s1d_A.fits,test,-9490.000000000024
25,0.4414527791700313,0.0,0.001264555079657609,0.16346233714358022,0.0,0.00018897053654281026,0.11455538262777241,0.0,0.0001837289055262449,2.0_beta_11,2454643.49017793,average_2008-06-25_s1d_A.fits,test,-9550.000000000022
26,0.4315692672859236,0.0,0.0013111256916501128,0.16196891224380847,0.0,0.00020571219485974166,0.11553726425538417,0.0,0.000199365327893445,2.0_beta_11,2454647.50597238,average_2008-06-30_s1d_A.fits,test,-9550.000000000022
27,0.4211852792791602,0.0,0.0012553289257272822,0.160282998988999,0.0,0.00021451614582501953,0.11322971736623773,0.0,0.00020384033170988178,2.0_beta_11,2454920.73248726,average_2008-11-04_s1d_A.fits,test,-9890.000000000015
28,0.4551491325602946,0.0,0.001240681426246802,0.16479312141949837,0.0,0.00020545357537884133,0.11537277370489775,0.0,0.00019498361314142836,2.0_beta_11,2454882.74904248,average_2008-11-05_s1d_A.fits,test,-9840.000000000016
